@relation ERing_channel_2

@attribute channel_2_0 numeric
@attribute channel_2_1 numeric
@attribute channel_2_2 numeric
@attribute channel_2_3 numeric
@attribute channel_2_4 numeric
@attribute channel_2_5 numeric
@attribute channel_2_6 numeric
@attribute channel_2_7 numeric
@attribute channel_2_8 numeric
@attribute channel_2_9 numeric
@attribute channel_2_10 numeric
@attribute channel_2_11 numeric
@attribute channel_2_12 numeric
@attribute channel_2_13 numeric
@attribute channel_2_14 numeric
@attribute channel_2_15 numeric
@attribute channel_2_16 numeric
@attribute channel_2_17 numeric
@attribute channel_2_18 numeric
@attribute channel_2_19 numeric
@attribute channel_2_20 numeric
@attribute channel_2_21 numeric
@attribute channel_2_22 numeric
@attribute channel_2_23 numeric
@attribute channel_2_24 numeric
@attribute channel_2_25 numeric
@attribute channel_2_26 numeric
@attribute channel_2_27 numeric
@attribute channel_2_28 numeric
@attribute channel_2_29 numeric
@attribute channel_2_30 numeric
@attribute channel_2_31 numeric
@attribute channel_2_32 numeric
@attribute channel_2_33 numeric
@attribute channel_2_34 numeric
@attribute channel_2_35 numeric
@attribute channel_2_36 numeric
@attribute channel_2_37 numeric
@attribute channel_2_38 numeric
@attribute channel_2_39 numeric
@attribute channel_2_40 numeric
@attribute channel_2_41 numeric
@attribute channel_2_42 numeric
@attribute channel_2_43 numeric
@attribute channel_2_44 numeric
@attribute channel_2_45 numeric
@attribute channel_2_46 numeric
@attribute channel_2_47 numeric
@attribute channel_2_48 numeric
@attribute channel_2_49 numeric
@attribute channel_2_50 numeric
@attribute channel_2_51 numeric
@attribute channel_2_52 numeric
@attribute channel_2_53 numeric
@attribute channel_2_54 numeric
@attribute channel_2_55 numeric
@attribute channel_2_56 numeric
@attribute channel_2_57 numeric
@attribute channel_2_58 numeric
@attribute channel_2_59 numeric
@attribute channel_2_60 numeric
@attribute channel_2_61 numeric
@attribute channel_2_62 numeric
@attribute channel_2_63 numeric
@attribute channel_2_64 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.702452,-0.702452,-0.702452,-0.708957,-0.728091,-0.747224,-0.753346,-0.753346,-0.753346,-0.753346,-0.753346,-0.74335,-0.731898,-0.729856,-0.729856,-0.729856,-0.729856,-0.729856,-0.577483,-0.411567,-0.373598,-0.373598,-0.373598,-0.373598,-0.373598,0.641517,1.660716,1.814846,1.814846,1.814846,1.814846,1.814846,1.845639,1.90763,1.947953,1.947953,1.947953,1.947953,1.947953,1.390869,0.363632,-0.224831,-0.224831,-0.224831,-0.224831,-0.224831,-0.229969,-0.298378,-0.334449,-0.334449,-0.334449,-0.334449,-0.334449,-0.38549,-0.520854,-0.655473,-0.655473,-0.655473,-0.655473,-0.655473,-0.650174,-0.623452,-0.600664,-0.600664,-0.600664,3
-0.252056,-0.252056,-0.252056,-0.252056,-0.252056,-0.252056,0.054987,0.469257,0.883526,1.207589,1.207589,1.207589,1.207589,1.207589,1.207589,1.207589,1.207589,1.207589,0.898947,0.266594,-0.365759,-0.998112,-1.020455,-1.020455,-1.020455,-1.020455,-1.020455,-1.020455,-1.020455,-1.03012,-1.15659,-1.283061,-1.409531,-1.466064,-1.466064,-1.466064,-1.466064,-1.466064,-1.466064,-1.466064,-1.466064,-1.466064,-0.651063,0.338813,1.136732,1.136732,1.136732,1.136732,1.136732,1.136732,1.136732,1.136732,1.136732,1.038992,0.801566,0.56414,0.326714,0.250238,0.250238,0.250238,0.250238,0.250238,0.250238,0.250238,0.250238,2
-0.57588,-0.57588,-0.57588,-0.567829,-0.554045,-0.540261,-0.531476,-0.531476,-0.531476,-0.531476,-0.531476,-0.531476,-0.531476,-0.537488,-0.554587,-0.571686,-0.585747,-0.585747,-0.585747,-0.585747,-0.585747,-0.585747,-0.585747,-0.585747,-0.38854,0.351533,1.091606,1.728145,1.728145,1.728145,1.728145,1.728145,1.728145,1.728145,1.728145,1.728145,1.728145,1.728145,1.728145,1.728145,1.468391,0.939885,0.41138,0.050697,0.050697,0.050697,0.050697,0.050697,0.050697,0.050697,-0.022126,-0.366126,-0.710126,-1.024844,-1.024844,-1.024844,-1.024844,-1.024844,-1.024844,-1.024844,-1.024844,-1.020653,-0.996559,-0.972465,-0.948372,4
-1.00092,-1.003152,-1.005366,-1.005366,-1.005366,-1.005366,-1.005366,-0.971411,-0.909274,-0.851988,-0.851988,-0.851988,-0.851988,-0.82486,-0.532954,-0.241049,-0.20958,-0.20958,-0.20958,-0.20958,-0.271649,-0.651118,-0.943126,-0.943126,-0.943126,-0.943126,-0.943126,0.056377,1.464054,2.071083,2.071083,2.071083,2.071083,2.071083,1.820603,1.487045,1.406445,1.406445,1.406445,1.406445,1.406445,0.851035,0.174993,0.059387,0.059387,0.059387,0.059387,0.150533,0.398192,0.552864,0.552864,0.552864,0.552864,0.552864,0.274417,-0.360349,-0.711948,-0.711948,-0.711948,-0.711948,-0.709938,-0.697651,-0.685365,-0.685273,-0.685273,3
-0.562151,-0.562151,-0.562151,-0.562151,-0.562151,-0.562151,-0.562151,-0.562151,-0.562151,-0.562151,-0.562151,-0.555273,-0.548278,-0.541282,-0.541171,-0.541171,-0.541171,-0.541171,-0.541171,-0.541171,-0.541171,-0.541171,-0.541171,-0.530381,-0.1334,0.263581,0.660562,1.057544,1.454525,1.458989,1.458989,1.458989,1.458989,1.458989,1.458989,1.458989,1.458989,1.458989,1.299147,1.137944,0.976741,0.820826,0.820826,0.820826,0.820826,0.820826,0.820826,0.820826,0.820826,0.820826,0.820826,0.81176,0.242703,-0.326355,-0.895412,-1.46447,-1.46607,-1.46607,-1.46607,-1.46607,-1.46607,-1.46607,-1.46607,-1.46607,-1.46607,4
0.939547,0.939547,0.939547,0.939547,0.939547,0.939547,0.939547,0.91238,0.884248,0.856117,0.827985,0.799853,0.795513,0.795513,0.795513,0.795513,0.795513,0.795513,0.795513,0.795513,0.795513,0.795513,0.791912,0.787346,0.782779,0.778213,0.776308,0.776308,0.776308,0.776308,0.776308,0.776308,0.776308,0.776308,0.776308,0.776308,0.776308,0.573592,0.100587,-0.372417,-0.845422,-1.155353,-1.155353,-1.155353,-1.155353,-1.155353,-1.155353,-1.155353,-1.155353,-1.155353,-1.166581,-1.209296,-1.252012,-1.294727,-1.329794,-1.329794,-1.329794,-1.329794,-1.329794,-1.329794,-1.329794,-1.329794,-1.329794,-1.329794,-1.329794,6
-0.834652,-0.834652,-0.834652,-0.834652,-0.834652,-0.815403,-0.789156,-0.762908,-0.760739,-0.760739,-0.760739,-0.760739,-0.760739,-0.760739,-0.726328,-0.653835,-0.581342,-0.556598,-0.556598,-0.556598,-0.556598,-0.556598,-0.556598,-0.34656,0.465443,1.277446,2.089448,2.318975,2.318975,2.318975,2.318975,2.318975,2.318975,1.830978,1.342981,0.854984,0.590816,0.590816,0.590816,0.590816,0.590816,0.590816,0.574154,0.290144,0.006135,-0.257425,-0.257425,-0.257425,-0.257425,-0.257425,-0.257425,-0.257425,-0.364415,-0.498153,-0.631891,-0.63403,-0.63403,-0.63403,-0.63403,-0.63403,-0.63403,-0.63403,-0.603371,-0.567666,-0.53196,3
-0.78371,-0.781586,-0.779463,-0.777339,-0.775215,-0.775215,-0.775215,-0.775215,-0.775215,-0.775215,-0.775215,-0.775215,-0.775215,-0.757886,-0.727662,-0.697438,-0.670438,-0.670438,-0.670438,-0.670438,-0.670438,-0.670438,-0.670438,-0.670438,-0.670438,-0.267034,0.13637,0.539774,0.943177,1.093781,1.093781,1.093781,1.093781,1.093781,1.093781,1.093781,1.093781,1.165116,1.289536,1.413956,1.538376,1.538376,1.538376,1.538376,1.538376,1.538376,1.538376,1.538376,1.538376,1.43772,0.751428,0.065136,-0.621156,-0.913974,-0.913974,-0.913974,-0.913974,-0.913974,-0.913974,-0.913974,-0.913974,-0.927602,-0.946186,-0.964769,-0.983353,4
-1.067368,-1.067368,-1.067368,-1.067368,-1.043353,-1.014478,-0.997409,-0.997409,-0.997409,-0.997409,-0.997409,-0.997409,-0.988571,-0.940549,-0.892527,-0.87748,-0.87748,-0.87748,-0.87748,-0.87748,-0.736658,0.323828,1.384314,1.770956,1.770956,1.770956,1.770956,1.770956,1.770956,1.637405,1.339217,1.041029,1.015152,1.015152,1.015152,1.015152,1.015152,0.898296,0.573106,0.247917,0.118182,0.118182,0.118182,0.118182,0.118182,0.118182,0.266046,0.498115,0.689095,0.689095,0.689095,0.689095,0.689095,0.689095,0.33045,-0.281671,-0.893792,-0.953685,-0.953685,-0.953685,-0.953685,-0.953685,-0.956173,-0.961175,-0.966178,3
-0.662599,-0.627434,-0.592269,-0.557104,-0.523279,-0.523279,-0.523279,-0.523279,-0.523279,-0.523279,-0.523279,-0.523279,-0.523279,-0.523279,-0.494343,-0.456927,-0.41951,-0.382093,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.370476,-0.141784,0.458533,1.058851,1.659168,2.081105,2.081105,2.081105,2.081105,2.081105,2.081105,2.081105,2.081105,2.081105,1.966582,1.224301,0.482021,-0.26026,-0.950227,-0.950227,-0.950227,-0.950227,-0.950227,-0.950227,-0.950227,-0.950227,4
